<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,1,20211001,093000,141.8900000,142.0400000,141.5100000,141.9300000,40254
US1.AAPL,1,20211001,093100,141.9100000,141.9500000,141.4200000,141.4300000,24844
US1.AAPL,1,20211001,093200,141.4300000,141.5200000,141.0200000,141.0200000,35716
US1.AAPL,1,20211001,093300,141.0000000,141.1600000,140.7600000,140.7900000,38475
US1.AAPL,1,20211001,093400,140.8000000,140.8900000,140.5900000,140.7900000,25212
US1.AAPL,1,20211001,093500,140.7400000,141.2100000,140.7200000,141.1300000,29305
US1.AAPL,1,20211001,093600,141.2200000,141.2800000,140.9700000,141.1800000,15761
US1.AAPL,1,20211001,093700,141.1700000,141.4700000,141.1700000,141.4500000,16443
US1.AAPL,1,20211001,093800,141.4400000,141.5400000,141.2600000,141.2900000,18629
US1.AAPL,1,20211001,093900,141.2500000,141.3300000,141.0800000,141.1000000,18128
US1.AAPL,1,20211001,094000,141.0900000,141.3000000,141.0700000,141.1700000,18703
US1.AAPL,1,20211001,094100,141.1300000,141.2000000,140.8600000,140.9900000,19203
US1.AAPL,1,20211001,094200,140.9500000,141.1600000,140.9100000,140.9800000,9770
US1.AAPL,1,20211001,094300,141.0000000,141.0200000,140.8200000,140.8600000,13768
US1.AAPL,1,20211001,094400,140.8100000,140.8900000,140.7500000,140.8000000,8063
US1.AAPL,1,20211001,094500,140.7000000,140.8500000,140.6700000,140.8000000,14255
US1.AAPL,1,20211001,094600,140.8100000,140.8900000,140.7600000,140.7700000,9825
US1.AAPL,1,20211001,094700,140.7600000,140.8300000,140.6500000,140.7400000,16709
US1.AAPL,1,20211001,094800,140.7200000,140.8100000,140.7000000,140.7300000,13600
US1.AAPL,1,20211001,094900,140.7200000,140.8500000,140.6300000,140.6400000,24783
US1.AAPL,1,20211001,095000,140.6350000,140.8000000,140.4700000,140.5300000,31923
US1.AAPL,1,20211001,095100,140.5300000,140.7800000,140.5300000,140.6300000,18964
US1.AAPL,1,20211001,095200,140.5900000,140.6300000,140.4800000,140.5100000,17189
US1.AAPL,1,20211001,095300,140.5200000,140.6600000,140.4300000,140.5700000,12567
US1.AAPL,1,20211001,095400,140.5700000,140.6500000,140.4100000,140.4100000,13730
US1.AAPL,1,20211001,095500,140.4100000,140.5000000,140.2900000,140.3400000,27352
US1.AAPL,1,20211001,095600,140.3400000,140.4000000,140.2500000,140.3500000,14647
US1.AAPL,1,20211001,095700,140.3600000,140.4500000,140.3200000,140.3600000,11261
US1.AAPL,1,20211001,095800,140.3500000,140.4100000,140.2800000,140.2800000,7835
US1.AAPL,1,20211001,095900,140.3000000,140.5700000,140.2800000,140.5400000,14344
US1.AAPL,1,20211001,100000,140.5400000,140.6100000,140.3200000,140.6100000,36455
US1.AAPL,1,20211001,100100,140.6300000,140.6500000,140.4200000,140.5700000,26851
US1.AAPL,1,20211001,100200,140.5600000,140.6800000,140.4700000,140.5300000,22909
US1.AAPL,1,20211001,100300,140.5300000,140.5700000,140.4700000,140.5200000,12813
US1.AAPL,1,20211001,100400,140.5250000,140.5250000,140.3200000,140.3300000,16625
US1.AAPL,1,20211001,100500,140.3400000,140.4200000,140.3200000,140.3700000,10984
US1.AAPL,1,20211001,100600,140.3700000,140.5100000,140.3700000,140.3700000,22227
US1.AAPL,1,20211001,100700,140.3700000,140.4300000,140.3000000,140.3700000,15666
US1.AAPL,1,20211001,100800,140.4000000,140.5000000,140.2900000,140.2900000,13988
US1.AAPL,1,20211001,100900,140.2600000,140.2900000,140.1300000,140.2400000,22627
US1.AAPL,1,20211001,101000,140.2400000,140.3000000,140.1800000,140.2450000,8151
US1.AAPL,1,20211001,101100,140.2450000,140.3300000,140.2100000,140.2900000,24536
US1.AAPL,1,20211001,101200,140.2900000,140.3200000,140.2500000,140.2700000,9778
US1.AAPL,1,20211001,101300,140.2700000,140.4900000,140.2700000,140.4300000,13716
US1.AAPL,1,20211001,101400,140.4400000,140.4500000,140.2700000,140.2700000,6440
US1.AAPL,1,20211001,101500,140.2600000,140.2600000,139.5200000,139.5400000,129053
US1.AAPL,1,20211001,101600,139.5300000,139.7500000,139.5000000,139.6600000,34996
US1.AAPL,1,20211001,101700,139.6500000,139.7100000,139.5200000,139.6800000,23465
US1.AAPL,1,20211001,101800,139.6900000,139.8100000,139.6100000,139.6400000,17675
US1.AAPL,1,20211001,101900,139.6900000,139.8000000,139.6400000,139.6700000,13118
US1.AAPL,1,20211001,102000,139.6900000,139.7600000,139.6000000,139.7600000,16291
US1.AAPL,1,20211001,102100,139.7700000,139.8300000,139.7100000,139.7200000,11140
US1.AAPL,1,20211001,102200,139.6900000,139.7300000,139.6600000,139.6900000,10064
US1.AAPL,1,20211001,102300,139.6700000,139.7100000,139.5300000,139.5600000,11032
US1.AAPL,1,20211001,102400,139.5400000,139.6800000,139.5300000,139.6300000,20303
US1.AAPL,1,20211001,102500,139.6200000,139.6600000,139.5400000,139.6200000,7665
US1.AAPL,1,20211001,102600,139.6200000,139.7600000,139.5900000,139.6400000,21484
US1.AAPL,1,20211001,102700,139.6400000,139.6600000,139.5300000,139.5300000,8189
US1.AAPL,1,20211001,102800,139.5400000,139.6600000,139.5100000,139.6000000,17061
US1.AAPL,1,20211001,102900,139.6000000,139.6200000,139.5200000,139.5300000,12827
US1.AAPL,1,20211001,103000,139.5300000,139.5300000,139.3500000,139.3600000,29536
US1.AAPL,1,20211001,103100,139.3500000,139.5000000,139.3400000,139.4900000,16247
US1.AAPL,1,20211001,103200,139.4800000,139.5500000,139.4500000,139.4500000,6124
US1.AAPL,1,20211001,103300,139.4500000,139.5900000,139.4500000,139.5800000,11050
US1.AAPL,1,20211001,103400,139.5700000,139.5800000,139.5100000,139.5400000,6400
US1.AAPL,1,20211001,103500,139.5300000,139.7000000,139.5000000,139.6900000,14886
US1.AAPL,1,20211001,103600,139.6900000,139.6900000,139.5500000,139.5500000,8439
US1.AAPL,1,20211001,103700,139.5500000,139.5500000,139.4200000,139.5200000,8176
US1.AAPL,1,20211001,103800,139.5100000,139.5100000,139.4250000,139.4250000,8151
US1.AAPL,1,20211001,103900,139.4300000,139.4350000,139.1300000,139.1400000,18703
US1.AAPL,1,20211001,104000,139.1400000,139.4900000,139.1300000,139.4200000,28778
US1.AAPL,1,20211001,104100,139.4100000,139.4400000,139.3200000,139.3400000,9545
US1.AAPL,1,20211001,104200,139.3300000,139.3500000,139.2100000,139.3500000,8638
US1.AAPL,1,20211001,104300,139.3100000,139.3300000,139.2600000,139.2900000,5446
US1.AAPL,1,20211001,104400,139.2700000,139.3400000,139.2500000,139.2500000,6314
US1.AAPL,1,20211001,104500,139.2400000,139.3400000,139.2100000,139.3400000,15012
US1.AAPL,1,20211001,104600,139.3300000,139.3400000,139.1600000,139.2800000,9996
US1.AAPL,1,20211001,104700,139.2800000,139.3400000,139.2200000,139.2900000,24647
US1.AAPL,1,20211001,104800,139.3100000,139.5300000,139.2700000,139.5100000,9283
US1.AAPL,1,20211001,104900,139.4900000,139.5700000,139.4400000,139.5700000,10609
US1.AAPL,1,20211001,105000,139.5500000,139.6100000,139.4600000,139.5800000,10097
US1.AAPL,1,20211001,105100,139.5700000,139.6000000,139.5000000,139.5800000,5477
US1.AAPL,1,20211001,105200,139.5600000,139.6150000,139.5200000,139.6100000,11455
US1.AAPL,1,20211001,105300,139.5900000,139.6500000,139.5700000,139.6300000,9015
US1.AAPL,1,20211001,105400,139.6000000,139.6400000,139.5800000,139.6000000,9424
US1.AAPL,1,20211001,105500,139.5850000,139.7600000,139.5300000,139.7550000,19944
US1.AAPL,1,20211001,105600,139.7600000,139.7850000,139.7400000,139.7700000,5800
US1.AAPL,1,20211001,105700,139.7800000,139.9400000,139.7800000,139.9000000,14271
US1.AAPL,1,20211001,105800,139.8900000,140.0300000,139.8800000,140.0000000,13118
US1.AAPL,1,20211001,105900,139.9900000,140.0600000,139.9400000,140.0600000,11019
US1.AAPL,1,20211001,110000,140.0500000,140.1400000,140.0000000,140.1100000,11525
US1.AAPL,1,20211001,110100,140.1100000,140.1900000,140.0600000,140.1700000,10869
US1.AAPL,1,20211001,110200,140.1500000,140.1600000,139.9600000,140.0600000,9340
US1.AAPL,1,20211001,110300,140.0600000,140.0600000,139.9400000,139.9600000,13371
US1.AAPL,1,20211001,110400,139.9500000,139.9800000,139.8900000,139.9400000,15113
US1.AAPL,1,20211001,110500,139.9400000,140.0200000,139.9400000,139.9700000,6800
US1.AAPL,1,20211001,110600,139.9600000,140.0500000,139.9100000,139.9400000,6379
US1.AAPL,1,20211001,110700,139.9100000,139.9800000,139.7900000,139.8000000,9516
US1.AAPL,1,20211001,110800,139.7900000,139.8400000,139.6400000,139.6400000,11925
US1.AAPL,1,20211001,110900,139.6500000,139.6900000,139.5700000,139.5700000,4100
US1.AAPL,1,20211001,111000,139.5800000,139.6900000,139.5800000,139.6100000,8435
US1.AAPL,1,20211001,111100,139.6200000,139.7200000,139.6000000,139.6900000,8239
US1.AAPL,1,20211001,111200,139.7000000,139.8400000,139.6400000,139.8000000,14645
US1.AAPL,1,20211001,111300,139.7500000,140.2000000,139.7400000,140.1900000,28620
US1.AAPL,1,20211001,111400,140.1900000,140.2700000,140.0800000,140.1500000,17645
US1.AAPL,1,20211001,111500,140.2000000,140.3200000,140.1700000,140.2300000,17406
US1.AAPL,1,20211001,111600,140.2300000,140.2800000,140.1400000,140.1800000,6700
US1.AAPL,1,20211001,111700,140.1400000,140.1500000,140.0600000,140.1100000,9982
US1.AAPL,1,20211001,111800,140.0800000,140.2500000,140.0700000,140.2200000,7884
US1.AAPL,1,20211001,111900,140.2100000,140.3500000,140.1700000,140.3500000,7182
US1.AAPL,1,20211001,112000,140.3500000,140.3900000,140.2000000,140.2000000,17358
US1.AAPL,1,20211001,112100,140.2200000,140.3200000,140.2100000,140.3200000,5646
US1.AAPL,1,20211001,112200,140.3200000,140.4000000,140.3200000,140.4000000,10680
US1.AAPL,1,20211001,112300,140.4200000,140.4200000,140.2800000,140.3850000,6100
US1.AAPL,1,20211001,112400,140.3800000,140.3800000,140.2500000,140.3100000,5000
US1.AAPL,1,20211001,112500,140.3100000,140.3200000,140.2200000,140.2800000,8401
US1.AAPL,1,20211001,112600,140.2600000,140.2600000,140.1500000,140.1900000,12145
US1.AAPL,1,20211001,112700,140.2200000,140.2400000,140.1100000,140.1200000,4579
US1.AAPL,1,20211001,112800,140.1300000,140.2000000,140.0700000,140.2000000,12558
US1.AAPL,1,20211001,112900,140.2000000,140.2100000,140.0000000,140.0200000,16567
US1.AAPL,1,20211001,113000,140.0200000,140.1500000,139.9800000,140.0300000,9900
US1.AAPL,1,20211001,113100,140.0400000,140.1000000,140.0100000,140.0300000,4155
US1.AAPL,1,20211001,113200,140.1000000,140.1900000,140.0600000,140.1700000,13077
US1.AAPL,1,20211001,113300,140.1500000,140.2300000,140.1400000,140.1400000,12728
US1.AAPL,1,20211001,113400,140.1400000,140.2100000,140.0800000,140.2000000,4000
US1.AAPL,1,20211001,113500,140.2250000,140.2900000,140.1100000,140.1400000,14496
US1.AAPL,1,20211001,113600,140.1600000,140.2450000,140.1300000,140.2450000,4147
US1.AAPL,1,20211001,113700,140.2400000,140.2400000,140.1500000,140.1500000,4800
US1.AAPL,1,20211001,113800,140.1500000,140.2800000,140.1300000,140.2100000,13537
US1.AAPL,1,20211001,113900,140.2000000,140.2100000,140.1100000,140.1300000,5798
US1.AAPL,1,20211001,114000,140.1400000,140.2300000,140.1300000,140.2100000,11900
US1.AAPL,1,20211001,114100,140.1800000,140.1900000,140.1400000,140.1700000,2025
US1.AAPL,1,20211001,114200,140.1900000,140.2700000,140.1900000,140.2100000,7423
US1.AAPL,1,20211001,114300,140.2400000,140.3500000,140.2400000,140.3400000,10587
US1.AAPL,1,20211001,114400,140.3400000,140.3900000,140.3200000,140.3300000,13909
US1.AAPL,1,20211001,114500,140.3300000,140.3900000,140.2500000,140.2600000,11329
US1.AAPL,1,20211001,114600,140.2300000,140.2900000,140.2200000,140.2700000,7564
US1.AAPL,1,20211001,114700,140.2500000,140.3300000,140.2500000,140.3000000,3724
US1.AAPL,1,20211001,114800,140.2900000,140.3100000,140.1300000,140.1300000,5500
US1.AAPL,1,20211001,114900,140.1300000,140.1300000,140.0900000,140.1100000,3810
