<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.BABA,1,20211001,093000,147.0900000,147.1100000,146.9900000,146.9900000,2041
US1.BABA,1,20211001,093100,147.0100000,147.0100000,146.9700000,146.9700000,400
US1.BABA,1,20211001,093200,147.0300000,147.9400000,147.0200000,147.6700000,2513
US1.BABA,1,20211001,093300,147.7500000,148.1800000,147.6400000,147.9200000,3105
US1.BABA,1,20211001,093400,147.9600000,148.4300000,147.9300000,148.4300000,3889
US1.BABA,1,20211001,093500,148.0500000,148.3800000,148.0500000,148.1500000,600
US1.BABA,1,20211001,093600,148.1600000,148.1600000,148.0500000,148.0600000,400
US1.BABA,1,20211001,093700,148.0000000,148.0000000,147.4200000,147.4200000,1600
US1.BABA,1,20211001,093800,147.3700000,147.3700000,147.0300000,147.0300000,3353
US1.BABA,1,20211001,093900,147.0000000,147.0000000,146.6300000,146.7100000,2110
US1.BABA,1,20211001,094000,146.7600000,146.7600000,146.3500000,146.4100000,4147
US1.BABA,1,20211001,094100,146.3700000,146.6200000,146.2400000,146.5400000,2955
US1.BABA,1,20211001,094200,146.6100000,146.6100000,146.3400000,146.3400000,1475
US1.BABA,1,20211001,094300,146.3800000,146.6800000,146.3800000,146.6400000,2250
US1.BABA,1,20211001,094400,146.4700000,146.4700000,146.3200000,146.3600000,2720
US1.BABA,1,20211001,094500,146.3700000,146.3700000,145.9200000,146.0300000,3537
US1.BABA,1,20211001,094600,146.1000000,146.1000000,145.7000000,145.7700000,2223
US1.BABA,1,20211001,094700,145.7600000,145.7600000,145.5000000,145.5800000,2335
US1.BABA,1,20211001,094800,145.8400000,145.8400000,145.5700000,145.6600000,1232
US1.BABA,1,20211001,094900,145.5700000,145.7300000,145.5700000,145.7300000,513
US1.BABA,1,20211001,095000,145.5800000,145.7700000,145.5500000,145.6800000,2493
US1.BABA,1,20211001,095100,145.6200000,145.6200000,145.2500000,145.3400000,4219
US1.BABA,1,20211001,095200,145.2100000,145.2500000,145.1500000,145.1500000,839
US1.BABA,1,20211001,095300,145.4500000,145.4500000,145.2500000,145.4000000,1432
US1.BABA,1,20211001,095400,145.3200000,145.3600000,145.1500000,145.1500000,1685
US1.BABA,1,20211001,095500,145.0600000,145.1400000,145.0600000,145.1400000,900
US1.BABA,1,20211001,095600,145.1100000,145.1500000,144.9900000,145.0200000,4278
US1.BABA,1,20211001,095700,145.0600000,145.0900000,144.9200000,144.9800000,2905
US1.BABA,1,20211001,095800,145.2000000,145.2000000,145.0400000,145.0800000,1000
US1.BABA,1,20211001,095900,145.0900000,145.1000000,144.9700000,145.0100000,1465
