<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.FB,1,20211001,093000,341.3500000,343.7000000,341.3400000,343.7000000,9394
US1.FB,1,20211001,093100,343.6600000,343.8100000,343.2500000,343.2500000,5325
US1.FB,1,20211001,093200,343.4000000,343.4000000,343.1000000,343.3000000,950
US1.FB,1,20211001,093300,343.1800000,343.2300000,342.3400000,342.3700000,2100
US1.FB,1,20211001,093400,342.1500000,342.8700000,341.9000000,342.8400000,4143
US1.FB,1,20211001,093500,342.6300000,343.6200000,342.5900000,343.4000000,13183
US1.FB,1,20211001,093600,343.5600000,343.5600000,342.4200000,342.6800000,5479
US1.FB,1,20211001,093700,342.6500000,342.7150000,342.5700000,342.6000000,500
US1.FB,1,20211001,093800,342.9500000,342.9500000,342.1600000,342.1600000,2707
US1.FB,1,20211001,093900,342.1800000,342.2300000,341.4100000,341.4100000,1500
US1.FB,1,20211001,094000,341.3300000,341.8200000,341.3300000,341.6700000,3326
US1.FB,1,20211001,094100,341.5800000,342.0000000,341.5800000,341.6800000,2207
US1.FB,1,20211001,094200,342.0000000,342.1400000,341.6200000,341.6300000,1088
US1.FB,1,20211001,094300,341.7700000,341.9600000,341.7700000,341.9600000,998
US1.FB,1,20211001,094400,341.5600000,341.5600000,341.3100000,341.3100000,500
US1.FB,1,20211001,094500,341.1200000,341.4600000,341.1200000,341.4000000,400
US1.FB,1,20211001,094600,341.3800000,341.5000000,340.9000000,340.9000000,1677
US1.FB,1,20211001,094700,340.8300000,341.0100000,340.7900000,341.0000000,1506
US1.FB,1,20211001,094800,341.0600000,341.4650000,340.9700000,341.4300000,2976
US1.FB,1,20211001,094900,341.8400000,341.9300000,341.7700000,341.8000000,1436
US1.FB,1,20211001,095000,341.5100000,341.9700000,341.3700000,341.7500000,1400
US1.FB,1,20211001,095100,341.8200000,341.9400000,341.6600000,341.6600000,745
