<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.PLTR,1,20211001,093000,24.2100000,24.2400000,24.1300000,24.2400000,21985
US1.PLTR,1,20211001,093100,24.2600000,24.2700000,24.0800000,24.0800000,25021
US1.PLTR,1,20211001,093200,24.0800000,24.2900000,24.0800000,24.2700000,8921
US1.PLTR,1,20211001,093300,24.2000000,24.2400000,24.1500000,24.1800000,5057
US1.PLTR,1,20211001,093400,24.1800000,24.2400000,24.1500000,24.1700000,6675
US1.PLTR,1,20211001,093500,24.1700000,24.2100000,24.1700000,24.1700000,1800
US1.PLTR,1,20211001,093600,24.2100000,24.2600000,24.2000000,24.2500000,4500
US1.PLTR,1,20211001,093700,24.2300000,24.2500000,24.2000000,24.2100000,4200
US1.PLTR,1,20211001,093800,24.2100000,24.2100000,24.1100000,24.1100000,7500
US1.PLTR,1,20211001,093900,24.1100000,24.1600000,23.9800000,23.9900000,8839
US1.PLTR,1,20211001,094000,23.9900000,24.0700000,23.9900000,24.0000000,3360
US1.PLTR,1,20211001,094100,24.0400000,24.0400000,23.9100000,23.9400000,5386
US1.PLTR,1,20211001,094200,23.9300000,23.9400000,23.8800000,23.9100000,9257
US1.PLTR,1,20211001,094300,23.9600000,24.0300000,23.9600000,24.0200000,1624
US1.PLTR,1,20211001,094400,23.9900000,24.0300000,23.9800000,24.0300000,1800
US1.PLTR,1,20211001,094500,24.0100000,24.0600000,24.0000000,24.0100000,4200
US1.PLTR,1,20211001,094600,24.0500000,24.0800000,24.0000000,24.0400000,27897
US1.PLTR,1,20211001,094700,24.0600000,24.1300000,24.0300000,24.1300000,8011
US1.PLTR,1,20211001,094800,24.1300000,24.1400000,24.1000000,24.1300000,3518
US1.PLTR,1,20211001,094900,24.1300000,24.2200000,24.1300000,24.1600000,6842
US1.PLTR,1,20211001,095000,24.1400000,24.2200000,24.1200000,24.2000000,7283
US1.PLTR,1,20211001,095100,24.2000000,24.2200000,24.1900000,24.1900000,4100
US1.PLTR,1,20211001,095200,24.1800000,24.1900000,24.1500000,24.1900000,8190
US1.PLTR,1,20211001,095300,24.1700000,24.2000000,24.1000000,24.1500000,4298
US1.PLTR,1,20211001,095400,24.1300000,24.1300000,24.0700000,24.0700000,2821
US1.PLTR,1,20211001,095500,24.0500000,24.0600000,24.0100000,24.0400000,11627
US1.PLTR,1,20211001,095600,24.0300000,24.0400000,23.9900000,24.0200000,5167
US1.PLTR,1,20211001,095700,24.0300000,24.0300000,23.9700000,23.9800000,8090
US1.PLTR,1,20211001,095800,23.9900000,24.0100000,23.9700000,23.9800000,4200
US1.PLTR,1,20211001,095900,23.9700000,24.0100000,23.9700000,24.0000000,4600
US1.PLTR,1,20211001,100000,24.0100000,24.0600000,23.9800000,24.0400000,16486
US1.PLTR,1,20211001,100100,24.0400000,24.0500000,24.0100000,24.0300000,3401
US1.PLTR,1,20211001,100200,24.0400000,24.0800000,24.0100000,24.0600000,3688
US1.PLTR,1,20211001,100300,24.0500000,24.0500000,23.9900000,23.9900000,2700
US1.PLTR,1,20211001,100400,23.9700000,23.9700000,23.8900000,23.8900000,6738
US1.PLTR,1,20211001,100500,23.8900000,23.9400000,23.8900000,23.9400000,1900
US1.PLTR,1,20211001,100600,23.9500000,23.9800000,23.9500000,23.9800000,3235
US1.PLTR,1,20211001,100700,23.9700000,23.9900000,23.9700000,23.9700000,3287
US1.PLTR,1,20211001,100800,24.0200000,24.0700000,24.0000000,24.0000000,11200
US1.PLTR,1,20211001,100900,24.0000000,24.0000000,23.9000000,23.9300000,7515
US1.PLTR,1,20211001,101000,23.9200000,23.9300000,23.9100000,23.9300000,2100
US1.PLTR,1,20211001,101100,23.9200000,24.0100000,23.9200000,24.0100000,2500
