<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.PYPL,1,20211001,093000,262.2400000,263.3500000,262.2300000,262.6600000,2600
US1.PYPL,1,20211001,093100,262.7400000,262.7400000,262.1200000,262.2300000,1000
US1.PYPL,1,20211001,093200,262.1400000,262.3000000,262.1100000,262.1400000,600
US1.PYPL,1,20211001,093300,261.9300000,262.3200000,261.9050000,262.3200000,300
US1.PYPL,1,20211001,093400,261.5400000,261.8500000,261.5400000,261.8500000,200
US1.PYPL,1,20211001,093500,262.3500000,262.3500000,262.3500000,262.3500000,100
US1.PYPL,1,20211001,093600,262.5000000,262.5000000,262.3100000,262.3700000,500
US1.PYPL,1,20211001,093700,262.2300000,262.4600000,262.1300000,262.4600000,775
US1.PYPL,1,20211001,093800,262.5400000,262.5400000,261.9900000,261.9900000,1193
US1.PYPL,1,20211001,093900,261.8300000,261.9500000,261.5600000,261.7500000,800
US1.PYPL,1,20211001,094000,261.7100000,261.7100000,261.6100000,261.6100000,853
US1.PYPL,1,20211001,094100,260.9700000,261.1500000,260.9200000,261.1500000,761
US1.PYPL,1,20211001,094200,261.2000000,261.3600000,261.2000000,261.2600000,700
US1.PYPL,1,20211001,094400,261.6100000,261.6100000,261.5200000,261.5200000,400
US1.PYPL,1,20211001,094500,261.3600000,261.3600000,261.3100000,261.3100000,200
US1.PYPL,1,20211001,094600,261.2100000,261.2100000,261.1900000,261.1900000,300
US1.PYPL,1,20211001,094700,261.0000000,261.1500000,261.0000000,261.1500000,500
US1.PYPL,1,20211001,094800,261.1400000,261.3100000,261.0400000,261.0600000,603
US1.PYPL,1,20211001,094900,261.4400000,261.5200000,261.4400000,261.5200000,350
US1.PYPL,1,20211001,095000,261.2300000,261.6400000,261.1400000,261.6400000,600
US1.PYPL,1,20211001,095100,261.4600000,261.4600000,261.4600000,261.4600000,121
US1.PYPL,1,20211001,095200,260.9900000,261.2100000,260.8400000,261.1250000,1200
US1.PYPL,1,20211001,095400,261.2800000,261.7300000,261.2600000,261.6100000,1449
US1.PYPL,1,20211001,095500,261.6000000,261.6000000,261.5900000,261.5900000,1300
US1.PYPL,1,20211001,095600,261.5100000,261.5700000,261.5100000,261.5700000,1714
US1.PYPL,1,20211001,095700,261.1900000,261.1900000,261.0600000,261.1600000,439
US1.PYPL,1,20211001,095800,261.1650000,261.1650000,260.8300000,260.8300000,300
US1.PYPL,1,20211001,095900,260.9100000,260.9200000,260.6800000,260.6800000,300
US1.PYPL,1,20211001,100000,261.2800000,261.2800000,260.8800000,261.0000000,1440
US1.PYPL,1,20211001,100100,261.0000000,261.2100000,260.9600000,261.2100000,400
US1.PYPL,1,20211001,100200,261.1800000,261.4400000,261.1800000,261.3700000,500
US1.PYPL,1,20211001,100300,261.3700000,261.4600000,261.3700000,261.4600000,695
US1.PYPL,1,20211001,100400,261.2100000,261.2400000,261.0000000,261.0300000,3709
US1.PYPL,1,20211001,100500,261.1200000,261.1200000,261.1200000,261.1200000,100
US1.PYPL,1,20211001,100600,261.5800000,261.7900000,261.5600000,261.7900000,400
US1.PYPL,1,20211001,100700,261.8600000,261.9100000,261.7200000,261.7700000,600
US1.PYPL,1,20211001,100800,261.8400000,262.0500000,261.8000000,262.0100000,1486
US1.PYPL,1,20211001,100900,261.7400000,261.7700000,261.5100000,261.7500000,500
US1.PYPL,1,20211001,101000,261.8500000,261.8500000,261.6000000,261.6900000,1000
US1.PYPL,1,20211001,101100,261.8000000,261.9200000,261.8000000,261.9200000,300
US1.PYPL,1,20211001,101200,262.1400000,262.1400000,262.0500000,262.0500000,500
US1.PYPL,1,20211001,101300,262.1200000,262.2100000,262.1200000,262.1900000,500
US1.PYPL,1,20211001,101400,262.1600000,262.1600000,261.7500000,261.7500000,757
US1.PYPL,1,20211001,101500,261.6450000,261.7000000,260.8500000,260.9000000,1800
US1.PYPL,1,20211001,101600,261.1200000,261.1200000,260.9700000,260.9700000,200
US1.PYPL,1,20211001,101700,260.8600000,260.8600000,260.5000000,260.5000000,200
US1.PYPL,1,20211001,101800,260.8000000,260.8000000,260.5900000,260.5900000,500
US1.PYPL,1,20211001,101900,260.4700000,260.6300000,260.4600000,260.6300000,300
US1.PYPL,1,20211001,102000,260.5600000,260.6100000,260.4900000,260.5600000,725
US1.PYPL,1,20211001,102100,260.6200000,260.6200000,260.6200000,260.6200000,100
US1.PYPL,1,20211001,102200,260.5300000,260.6300000,260.5300000,260.6300000,950
US1.PYPL,1,20211001,102300,260.5250000,260.5250000,260.5250000,260.5250000,100
US1.PYPL,1,20211001,102400,260.6000000,260.7200000,260.5500000,260.5500000,400
US1.PYPL,1,20211001,102500,260.5900000,260.5900000,260.5500000,260.5500000,200
US1.PYPL,1,20211001,102600,260.6700000,260.8200000,260.6200000,260.8200000,1100
US1.PYPL,1,20211001,102900,260.7200000,260.7200000,260.5200000,260.5200000,705
US1.PYPL,1,20211001,103000,260.4200000,260.4200000,260.2200000,260.4200000,900
US1.PYPL,1,20211001,103100,260.1800000,260.3100000,260.1800000,260.3100000,500
US1.PYPL,1,20211001,103200,260.3400000,260.4200000,260.3400000,260.4200000,200
US1.PYPL,1,20211001,103300,260.2400000,260.5000000,260.2400000,260.5000000,200
