<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.SPY,1,20211001,093000,430.9800000,431.5000000,430.9200000,431.5000000,38517
US1.SPY,1,20211001,093100,431.4400000,431.6100000,431.2200000,431.2500000,38074
US1.SPY,1,20211001,093200,431.2400000,431.3000000,430.9300000,430.9400000,28725
US1.SPY,1,20211001,093300,430.9000000,431.1300000,430.7850000,430.8500000,59496
US1.SPY,1,20211001,093400,430.7900000,430.7900000,430.2500000,430.2900000,46428
US1.SPY,1,20211001,093500,430.2800000,430.6000000,430.1000000,430.5600000,41403
US1.SPY,1,20211001,093600,430.5500000,430.7700000,430.3200000,430.3600000,36088
US1.SPY,1,20211001,093700,430.3400000,430.5000000,430.0400000,430.0700000,34163
US1.SPY,1,20211001,093800,430.0800000,430.2200000,429.8600000,429.8700000,33670
US1.SPY,1,20211001,093900,429.9000000,430.1700000,429.7200000,429.7200000,42762
US1.SPY,1,20211001,094000,429.7300000,430.0000000,429.6700000,429.7100000,44373
US1.SPY,1,20211001,094100,429.7200000,429.9800000,429.6300000,429.7600000,23878
US1.SPY,1,20211001,094200,429.6900000,429.9000000,429.6600000,429.8400000,24562
US1.SPY,1,20211001,094300,429.9100000,430.0800000,429.8000000,429.9100000,34939
US1.SPY,1,20211001,094400,429.9000000,429.9000000,429.2800000,429.2900000,32896
US1.SPY,1,20211001,094500,429.2800000,429.5500000,429.1900000,429.3600000,55745
US1.SPY,1,20211001,094600,429.4100000,429.5600000,429.2400000,429.2400000,35192
US1.SPY,1,20211001,094700,429.2500000,429.4300000,429.0800000,429.3100000,37194
US1.SPY,1,20211001,094800,429.3100000,429.6000000,429.2900000,429.5600000,35944
US1.SPY,1,20211001,094900,429.5500000,429.8300000,429.5000000,429.5000000,40195
US1.SPY,1,20211001,095000,429.4750000,429.5100000,429.2200000,429.3700000,51298
US1.SPY,1,20211001,095100,429.3900000,429.6900000,429.2600000,429.2600000,34080
US1.SPY,1,20211001,095200,429.2400000,429.3300000,428.9200000,429.1700000,54156
US1.SPY,1,20211001,095300,429.1900000,429.5500000,429.1500000,429.4700000,39323
US1.SPY,1,20211001,095400,429.4400000,429.6100000,429.2500000,429.3100000,27357
US1.SPY,1,20211001,095500,429.3000000,429.3400000,428.8400000,429.0900000,41446
US1.SPY,1,20211001,095600,429.0900000,429.2900000,428.8100000,429.1800000,30345
US1.SPY,1,20211001,095700,429.2400000,429.3800000,429.1300000,429.3200000,27486
US1.SPY,1,20211001,095800,429.2900000,429.3900000,428.9600000,428.9900000,31366
US1.SPY,1,20211001,095900,428.9900000,429.5300000,428.9100000,429.4100000,32891
US1.SPY,1,20211001,100000,429.4500000,429.9400000,428.9700000,429.9400000,109228
US1.SPY,1,20211001,100100,429.8800000,430.1300000,429.6400000,430.0800000,105996
US1.SPY,1,20211001,100200,430.0900000,430.3100000,429.8900000,429.9300000,65581
US1.SPY,1,20211001,100300,429.9300000,429.9800000,429.6400000,429.8500000,51919
US1.SPY,1,20211001,100400,429.8400000,429.8800000,429.3100000,429.3300000,41364
US1.SPY,1,20211001,100500,429.3200000,429.4400000,429.0700000,429.3000000,54512
