<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.SQ,1,20211001,093000,239.6200000,241.5700000,239.5850000,241.4800000,3441
US1.SQ,1,20211001,093100,241.2300000,241.2300000,240.5100000,240.5100000,954
US1.SQ,1,20211001,093200,240.5200000,240.6100000,239.8400000,239.8400000,703
US1.SQ,1,20211001,093300,239.8600000,239.8600000,238.9100000,239.2500000,1358
US1.SQ,1,20211001,093400,239.1900000,239.3400000,238.9200000,239.3400000,580
US1.SQ,1,20211001,093500,239.1500000,239.7500000,239.0500000,239.5300000,1800
US1.SQ,1,20211001,093600,239.7500000,240.4100000,239.7500000,240.1900000,2359
US1.SQ,1,20211001,093700,240.3900000,240.4600000,240.0200000,240.4600000,1201
US1.SQ,1,20211001,093800,240.2700000,240.2700000,239.5800000,239.6050000,1100
US1.SQ,1,20211001,093900,239.4900000,239.5300000,238.8600000,238.8600000,900
US1.SQ,1,20211001,094000,238.9200000,239.0200000,238.2900000,238.2900000,800
US1.SQ,1,20211001,094100,238.7300000,238.7300000,238.4900000,238.4900000,200
US1.SQ,1,20211001,094200,238.6600000,238.6800000,238.6600000,238.6800000,200
US1.SQ,1,20211001,094300,238.8300000,239.3600000,238.7300000,239.2800000,2111
US1.SQ,1,20211001,094400,239.2300000,239.2300000,239.2300000,239.2300000,100
US1.SQ,1,20211001,094500,238.7900000,238.7900000,238.7900000,238.7900000,116
US1.SQ,1,20211001,094600,239.0400000,239.0400000,238.0100000,238.0800000,1560
US1.SQ,1,20211001,094700,237.9100000,237.9100000,237.6300000,237.7600000,340
US1.SQ,1,20211001,094800,238.5700000,238.6400000,238.3500000,238.3500000,400
US1.SQ,1,20211001,094900,238.5400000,238.9200000,238.5400000,238.9200000,341
US1.SQ,1,20211001,095000,238.8100000,239.4700000,238.8000000,239.4700000,300
US1.SQ,1,20211001,095100,239.5200000,239.9100000,239.4400000,239.9000000,1494
US1.SQ,1,20211001,095200,239.6500000,239.7100000,239.5100000,239.6300000,1550
US1.SQ,1,20211001,095300,239.7000000,240.0500000,239.7000000,240.0500000,1648
US1.SQ,1,20211001,095400,239.8100000,239.8100000,239.8100000,239.8100000,100
US1.SQ,1,20211001,095500,239.1500000,239.1500000,238.8000000,239.0300000,700
US1.SQ,1,20211001,095600,238.9000000,238.9100000,238.9000000,238.9100000,334
US1.SQ,1,20211001,095700,239.3500000,239.3500000,239.2300000,239.2300000,500
US1.SQ,1,20211001,095800,239.2200000,239.2200000,239.2200000,239.2200000,100
