<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAL,1,20211001,093000,20.9950000,21.1750000,20.9750000,21.1450000,28726
US1.AAL,1,20211001,093100,21.1450000,21.2700000,21.1350000,21.2400000,36910
US1.AAL,1,20211001,093200,21.2500000,21.2900000,21.1800000,21.2100000,13421
US1.AAL,1,20211001,093300,21.1800000,21.3900000,21.1800000,21.3700000,22926
US1.AAL,1,20211001,093400,21.3500000,21.3500000,21.2800000,21.3000000,14527
US1.AAL,1,20211001,093500,21.3100000,21.3200000,21.2300000,21.3000000,14602
US1.AAL,1,20211001,093600,21.3000000,21.3200000,21.1900000,21.2100000,7545
US1.AAL,1,20211001,093700,21.2100000,21.2500000,21.1300000,21.1400000,14278
US1.AAL,1,20211001,093800,21.1450000,21.2000000,21.1300000,21.1600000,7858
US1.AAL,1,20211001,093900,21.1700000,21.2200000,21.1500000,21.1600000,9643
US1.AAL,1,20211001,094000,21.1600000,21.2800000,21.1600000,21.2400000,23756
US1.AAL,1,20211001,094100,21.2400000,21.2400000,21.1900000,21.2100000,4396
US1.AAL,1,20211001,094200,21.2200000,21.2500000,21.2200000,21.2400000,3611
US1.AAL,1,20211001,094300,21.2600000,21.3600000,21.2600000,21.3400000,17699
US1.AAL,1,20211001,094400,21.3300000,21.3300000,21.2900000,21.2900000,7890
US1.AAL,1,20211001,094500,21.2650000,21.3100000,21.2100000,21.3100000,17040
US1.AAL,1,20211001,094600,21.3100000,21.3200000,21.2000000,21.2000000,5821
US1.AAL,1,20211001,094700,21.1900000,21.2000000,21.1500000,21.1700000,6248
US1.AAL,1,20211001,094800,21.1600000,21.1900000,21.1500000,21.1800000,12084
US1.AAL,1,20211001,094900,21.1800000,21.2400000,21.1700000,21.1700000,7160
US1.AAL,1,20211001,095000,21.1500000,21.1500000,21.1000000,21.1200000,18219
US1.AAL,1,20211001,095100,21.1400000,21.2000000,21.1400000,21.1900000,4756
US1.AAL,1,20211001,095200,21.1900000,21.1900000,21.1600000,21.1800000,4779
US1.AAL,1,20211001,095300,21.1800000,21.2500000,21.1700000,21.2500000,2400
US1.AAL,1,20211001,095400,21.2550000,21.2900000,21.2300000,21.2300000,4884
US1.AAL,1,20211001,095500,21.2200000,21.2300000,21.1750000,21.2200000,4758
US1.AAL,1,20211001,095600,21.2100000,21.2400000,21.2000000,21.2400000,1448
US1.AAL,1,20211001,095700,21.2500000,21.2600000,21.2100000,21.2200000,8129
US1.AAL,1,20211001,095800,21.2200000,21.2200000,21.1300000,21.1300000,8290
US1.AAL,1,20211001,095900,21.1400000,21.1700000,21.1300000,21.1600000,4100
US1.AAL,1,20211001,100000,21.1700000,21.2800000,21.1400000,21.2800000,6854
US1.AAL,1,20211001,100100,21.2900000,21.3600000,21.2800000,21.3400000,15623
US1.AAL,1,20211001,100200,21.3400000,21.4000000,21.3400000,21.3850000,18501
US1.AAL,1,20211001,100300,21.3800000,21.4300000,21.3700000,21.3800000,11955
US1.AAL,1,20211001,100400,21.3800000,21.3800000,21.3000000,21.3000000,2491
US1.AAL,1,20211001,100500,21.3000000,21.3000000,21.2700000,21.2800000,3114
US1.AAL,1,20211001,100600,21.2950000,21.3000000,21.2400000,21.2500000,4300
US1.AAL,1,20211001,100700,21.2600000,21.3000000,21.2600000,21.3000000,3493
US1.AAL,1,20211001,100800,21.3100000,21.3500000,21.3100000,21.3400000,8507
US1.AAL,1,20211001,100900,21.3100000,21.3200000,21.2800000,21.3100000,1600
US1.AAL,1,20211001,101000,21.3100000,21.3100000,21.2600000,21.2800000,2600
US1.AAL,1,20211001,101100,21.2900000,21.3050000,21.2600000,21.2600000,1800
US1.AAL,1,20211001,101200,21.2400000,21.2600000,21.2400000,21.2600000,3570
US1.AAL,1,20211001,101300,21.2600000,21.3000000,21.2600000,21.3000000,3000
US1.AAL,1,20211001,101400,21.3000000,21.3100000,21.2800000,21.2800000,2200
US1.AAL,1,20211001,101500,21.2700000,21.2700000,21.0900000,21.0900000,29805
US1.AAL,1,20211001,101600,21.0750000,21.1500000,21.0750000,21.1300000,8602
US1.AAL,1,20211001,101700,21.1300000,21.1350000,21.0850000,21.0900000,7500
US1.AAL,1,20211001,101800,21.1100000,21.1100000,21.0500000,21.0600000,3826
US1.AAL,1,20211001,101900,21.0700000,21.1100000,21.0300000,21.1000000,21157
US1.AAL,1,20211001,102000,21.1100000,21.1100000,21.0600000,21.1000000,3710
US1.AAL,1,20211001,102100,21.0800000,21.0900000,21.0600000,21.0600000,3074
US1.AAL,1,20211001,102200,21.0500000,21.0600000,21.0500000,21.0600000,1500
US1.AAL,1,20211001,102300,21.0700000,21.0800000,21.0400000,21.0400000,7930
US1.AAL,1,20211001,102400,21.0500000,21.0700000,21.0400000,21.0600000,1761
US1.AAL,1,20211001,102500,21.0450000,21.0450000,20.9900000,21.0150000,9475
US1.AAL,1,20211001,102600,21.0300000,21.0900000,21.0200000,21.0900000,1737
US1.AAL,1,20211001,102700,21.1000000,21.1100000,21.0800000,21.1000000,2500
US1.AAL,1,20211001,102800,21.1000000,21.1200000,21.1000000,21.1100000,2473
US1.AAL,1,20211001,102900,21.1200000,21.1250000,21.0900000,21.0900000,3400
US1.AAL,1,20211001,103000,21.0900000,21.1200000,21.0700000,21.0700000,1450
US1.AAL,1,20211001,103100,21.0900000,21.1200000,21.0900000,21.1200000,4084
US1.AAL,1,20211001,103200,21.1200000,21.1200000,21.1000000,21.1000000,3200
US1.AAL,1,20211001,103300,21.1100000,21.1400000,21.1000000,21.1000000,1200
US1.AAL,1,20211001,103400,21.1200000,21.1400000,21.1200000,21.1400000,300
US1.AAL,1,20211001,103500,21.1300000,21.2000000,21.1300000,21.1700000,5098
US1.AAL,1,20211001,103600,21.2100000,21.2100000,21.1400000,21.1800000,8722
US1.AAL,1,20211001,103700,21.1900000,21.1900000,21.1700000,21.1700000,1225
US1.AAL,1,20211001,103800,21.1700000,21.1750000,21.1300000,21.1300000,7092
US1.AAL,1,20211001,103900,21.1200000,21.1200000,21.0500000,21.0500000,19616
US1.AAL,1,20211001,104000,21.0500000,21.0700000,21.0200000,21.0700000,19431
US1.AAL,1,20211001,104100,21.0500000,21.0650000,21.0500000,21.0600000,10874
US1.AAL,1,20211001,104200,21.0600000,21.0600000,21.0600000,21.0600000,1200
US1.AAL,1,20211001,104300,21.0650000,21.0650000,21.0400000,21.0400000,2700
US1.AAL,1,20211001,104400,21.0400000,21.0500000,21.0300000,21.0400000,2600
US1.AAL,1,20211001,104500,21.0250000,21.0250000,20.9600000,20.9800000,5532
US1.AAL,1,20211001,104600,20.9950000,20.9950000,20.9700000,20.9800000,3000
US1.AAL,1,20211001,104700,20.9750000,20.9750000,20.9300000,20.9600000,9908
US1.AAL,1,20211001,104800,20.9600000,20.9700000,20.9550000,20.9700000,2120
US1.AAL,1,20211001,104900,20.9850000,21.0300000,20.9750000,21.0300000,2540
US1.AAL,1,20211001,105000,21.0250000,21.0250000,21.0100000,21.0100000,700
US1.AAL,1,20211001,105100,21.0500000,21.0500000,21.0100000,21.0300000,3296
US1.AAL,1,20211001,105200,21.0300000,21.0300000,20.9550000,20.9750000,6010
US1.AAL,1,20211001,105300,20.9700000,20.9800000,20.9600000,20.9600000,10474
US1.AAL,1,20211001,105400,20.9600000,20.9600000,20.9500000,20.9500000,7400
US1.AAL,1,20211001,105500,20.9500000,20.9500000,20.9100000,20.9500000,12575
US1.AAL,1,20211001,105600,20.9800000,21.0000000,20.9800000,21.0000000,1000
US1.AAL,1,20211001,105700,21.0100000,21.0500000,21.0100000,21.0500000,2258
US1.AAL,1,20211001,105800,21.0500000,21.0600000,21.0500000,21.0500000,1294
US1.AAL,1,20211001,105900,21.0550000,21.0750000,21.0550000,21.0700000,5674
US1.AAL,1,20211001,110000,21.0700000,21.1100000,21.0550000,21.1100000,7224
US1.AAL,1,20211001,110100,21.1100000,21.1150000,21.0900000,21.1100000,11319
US1.AAL,1,20211001,110200,21.1200000,21.1200000,21.1000000,21.1100000,3413
US1.AAL,1,20211001,110300,21.1200000,21.1200000,21.1100000,21.1200000,300
US1.AAL,1,20211001,110400,21.1100000,21.1200000,21.1100000,21.1100000,1500
US1.AAL,1,20211001,110500,21.1050000,21.1100000,21.1050000,21.1100000,300
US1.AAL,1,20211001,110600,21.1000000,21.1000000,21.0800000,21.0800000,2288
US1.AAL,1,20211001,110700,21.0900000,21.0900000,21.0650000,21.0800000,5400
US1.AAL,1,20211001,110800,21.0800000,21.0800000,21.0700000,21.0700000,843
US1.AAL,1,20211001,110900,21.0600000,21.0600000,21.0300000,21.0300000,1600
US1.AAL,1,20211001,111000,21.0200000,21.0200000,21.0000000,21.0000000,700
US1.AAL,1,20211001,111100,21.0200000,21.0300000,21.0100000,21.0300000,3100
US1.AAL,1,20211001,111200,21.0400000,21.0800000,21.0400000,21.0800000,4100
US1.AAL,1,20211001,111300,21.0700000,21.1300000,21.0700000,21.1300000,7878
US1.AAL,1,20211001,111400,21.1400000,21.1600000,21.1300000,21.1450000,3661
US1.AAL,1,20211001,111500,21.1300000,21.1500000,21.1250000,21.1450000,3652
US1.AAL,1,20211001,111600,21.1400000,21.1400000,21.1300000,21.1350000,1300
US1.AAL,1,20211001,111700,21.1300000,21.1300000,21.1100000,21.1250000,4663
US1.AAL,1,20211001,111800,21.1350000,21.1500000,21.1350000,21.1500000,600
US1.AAL,1,20211001,111900,21.1550000,21.1650000,21.1550000,21.1600000,1600
US1.AAL,1,20211001,112000,21.1600000,21.1600000,21.1150000,21.1150000,9250
US1.AAL,1,20211001,112100,21.1400000,21.1500000,21.1400000,21.1400000,500
US1.AAL,1,20211001,112200,21.1500000,21.1500000,21.1450000,21.1500000,1356
US1.AAL,1,20211001,112300,21.1600000,21.1700000,21.1600000,21.1700000,3088
US1.AAL,1,20211001,112400,21.1750000,21.1800000,21.1700000,21.1800000,1318
